Segment,Plant,Product,Quantity,Risk Level,Segement,Code,UOM,Status,Classification,Level 1,Level 2,Level 3,Scrapping Status,Scrapping Month,Value in EGP,Date
,EGB1,Cses RS Bot Saksdc El-King 10` 24^500ml,34.2033746,Low,Pack,89044474,Pc,Booked,Quality Issue,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation,WHS.Losses for additional packaging incl. natural wear-and-tear of pack. materials ,Done,22-Mar,132756,
,EGB1,Flats sjs Wild Cactus 3182502277,288,Low,Raw,8900181894,KG,Not Booked,Expired,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date NPI ,Done,22-Mar,445350,
,EGB3,Fasdikad Coffee Can Tray 12^25cl TE,34.2033746,High,FG,180594,PC,Not Booked,Quality Issue,Write_off_Production ,Production_own_products, PRODUCTION.Microbiology (quality of Teer) incl returns from customers,Pending,22-Jul,2401071.12,
,EGB4,LBL Front CGV White 750ml 2019,34.2033746,Low,Pack,89048577,Pc,Not Booked,Delisted,Write_off _Purchasing,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Minimal batch size (agreed decision) ,Done,22-Mar,1907200,
,EGB5,LBLST ID Black 50 1L,34.2033746,Low,Pack,890918575,Pc,Booked,SKU simplification ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Minimal batch size (agreed decision) ,Pending,22-Dec,1849100.91,
,EGB5,Cap Al Screw ID Blue40 500ml 2019,34.2033746,Low,Pack,89045578,Pc,Booked,Quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Pending,22-Dec,283678,
,EGB3,Flats sjs Giva Malt ^E7939986,34.2033746,Low,Raw,89004458,kg,Not Booked,Amstel Flavour,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Done,22-May,245626,
,EGB3,Cses RS Bot MEsacod Ma^ 24^500ml TE,34.2033746,Low,Pack,89049749,Pc,Not Booked,Cancelled NPI,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,201025,
,EGB3,Flats sjs Symr Coffee 327773,34.2033746,Low,Raw,890084418,Kg,Booked,Fayrouz Coffee ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date NPI ,Done,22-May,181392,
,EGLE,JUST WINE Chardonnay White NRB 12^75cl,34.2033746,Low,FG,5518418,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,157485.1,
,EGL1,Cses RS Bot Ameasnb App NA 24^398ml,34.2033746,Low,Pack,89049899,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Done,22-Jan,136312.8,
,EGL1,Cses RS Bot Ameasnb Clasica 24^398ml E^p,34.2033746,Low,Pack,890497180,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Done,22-Jan,133383,
,EGB1,Brella RB Crate 24^50cl TE,34.2033746,Low,FG,8948,Pc,Not Booked,Quality issue ,Write_off_Production ,Production_own_products," PRODUCTION.Production breakage and reject  (shortrun, reject of package), incl returns from customers ",Done,22-May,121228.8,
,EGL1,Cses RS Bot Ameasnb Lem NA 24^398ml E^p,34.2033746,Low,Pack,890497918,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Done,22-Jan,120346.2,
,EGL1,Cses RS Bot Ameasnb Pom NA 24^398ml,72,Low,Pack,89049890,PC,Booked,Scarab,Write_off_Sales ,Sales,Material no longer used,Done,22-Jan,120276,
,EGB3,LBLWA Fasdikad Apple Watermelon 970ml,34.2033746,Medium,Pack,89048790,Pc,Booked,PET Label,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,119715.66,
,EGB5,Partition Corr NRB Bascajh 6^750ml,34.2033746,Low,Pack,89098449,Pc,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain," MARKETING/SALES/SCH.Change of design (marketing issues, promo) ",Pending,22-Dec,99181.44,
,EGB4,Phshshas Rose BIB 10L,326,Low,FG,4988,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Apr,88952.36,
,EGB3,Fasdikad Pine PET Shrink 6^97cl SE TE,39,Low,FG,1849185,PC,Not Booked,Quality issue ,Write_off_Production ,Production_own_products, PRODUCTION.Microbiology (quality of Teer) incl returns from customers,Done,22-Mar,66973.2,
,EGB3,Cap Pl Orange Fasdikad Mango 1810 V2,18,Low,Pack,890451847,Pc,Booked,SKU simplification ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-Dec,65758,
,EGLE,Phshshas Rose KTE 98L,16,Low,FG,4995,Case,Not Booked,Expired,,,,Pending,22-Aug,64125,
,EGB3,LBLWA Fasdikad Mango Peach 970ml Pro22,34.2033746,Low,Pack,89044494,Pc,Booked,SKU simplification ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-Dec,63980,
,EGB1,Cses RS Bot Saksdc Weizen 24^500ml TE 16,34.2033746,Low,Pack,89099899,Pc,Booked,SKU simplification ,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,62561.25,
,EGB4,AYAM White NRB 12^75cl,55.27,Low,FG,418018,Case,Booked,FG-Expiry,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-Jun,46612.5072,
,EGLE,NERMINE Red NRB 6^75cl,431.1,Low,FG,49189,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,45476.14,
,EGB3,Biresss Can Tray 24^33cl TE,25,Low,FG,4949,Pc,Not Booked,Quality issue ,Write_off_Production ,Production_own_products," PRODUCTION.Production breakage and reject  (shortrun, reject of package), incl returns from customers ",Done,22-May,41448.96,
,EGB3,Can Al Ameasnb 398ml STD Plain Malt V3,34.2033746,Low,Pack,890894818,Pc,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Done,22-May,33609.6,
,EGB3,Flats sjs Symr Caramel 867370,34.2033746,Low,Raw,89008447,Kg,Booked,Fayrouz Coffee ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date NPI ,Done,22-May,31120,
,EGLE,"AYAM White NRB 48^18,7cl",550,Low,FG,5180018,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,29822.92,
,EGB4,LBLST CAPE BAY Chardonnay Oaky 750ml Yel,140,Low,Pack,89099474,Pc,Booked,SKU simplification ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-Dec,27574.43,
,EGLF,Phshshas White BIB 10L,434,Low,FG,49818,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,25063.5,
,EGB5,Cses RS Bot ID Vasj  12^500ml BKR 2018,950,Low,Pack,890441849,Pc,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Done,22-May,24855,
,EGLE,CAPE BAY Chardonnay Oaky NRB 12^75cl,34.2033746,Low,FG,59450,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,24345.51,
,EGB4,Phshshas White BIB 10L,34.2033746,Low,FG,49818,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,23581.78,
,EGB5,Cses RS Bot ID Vasj  6^1L BKR 2018,34.2033746,Low,Pack,890441895,PC,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain," MARKETING/SALES/SCH.Change of design (marketing issues, promo) ",Done,22-Mar,23208,
,EGB5,Flats sjs Symr Cola 372562,34.2033746,Low,Raw,89008799,Kg,Not Booked,Delayed NPI,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date NPI ,Done,22-May,22513,
,EGB5,Ink Videojet V401 Black 750ml,34.2033746,Low,Pack,890479188,Pc,Not Booked,Expired,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date. Other,Done,22-Mar,21237,
,EGLE,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,20460,
,EGLF,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Apr,19948.5,
,EGLE,Phshshas White BIB 10L,34.2033746,Low,FG,49818,PC,Not Booked,quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Jan,19461,
,EGB5,Cses RS Bot BascajhS 6^750ml BKR 2018,34.2033746,Low,Pack,8904418418,Pc,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain," MARKETING/SALES/SCH.Change of design (marketing issues, promo) ",Pending,22-Dec,19298.25,
,EGLE,Oblws Rose NRB 12^75cl,34.2033746,Low,FG,4974,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,19180.88,
,EGLF,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,18925.5,
,EGB4,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,16958.36,
,EGB4,LBL Back CGV White 750ml 2019,525,Low,Pack,89048578,Pc,Not Booked,Delisted,Write_off _Purchasing,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Minimal batch size (agreed decision) ,Done,22-Mar,16470,
,EGLF,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,Pc,Not Booked,Quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-May,15856.5,
,EGLE,AYAM White NRB 12^75cl,22,Low,FG,418018,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,15686.99,
,EGB4,Cses RS Bot OasnKHAYYAM 12^750ml BKR V2,34.2033746,Low,Pack,89049987,Pc,Not Booked,SKU simplification ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain," MARKETING/SALES/SCH.Change of design (marketing issues, promo) ",Done,22-Mar,15625.78,
,EGB3,LBL Met Neck MEsacod Ma^ 500ml,34.2033746,Low,Pack,89049789,Pc,Not Booked,Cancelled NPI,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,15600,
,EGB3,LBL Met Front MEsacod Ma^ 500ml,34.2033746,Low,Pack,89049799,Pc,Not Booked,Cancelled NPI,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,15600,
,EGLE,CASPAR White Viognier NRB 6^75cl,34.2033746,Low,FG,49188,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,15200.97,
,EGB4,Cses RS Bot ABARKA 12^750ml BKR,34.2033746,Low,Pack,89099904,PC,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain," MARKETING/SALES/SCH.Change of design (marketing issues, promo) ",Done,22-Mar,14263,
,EGLE,AYAM Red NRB 12^75cl,34.2033746,Low,FG,48187,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,13905.95,
,EGLF,Saksdc El King 15` Can Tray 24^33cl TE,34.2033746,Low,FG,184897,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,13173.3,
,EGB3,Stabilizer Gellan Gum Kelcogel HM-B E418,34.2033746,Low,Raw,890081857,Kg,Booked,Fayrouz Coffee ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Change of recipe and design because of legislation,Done,22-Mar,12150,
,EGLE,Valdons White Sparkling NRB 12^75cl,34.2033746,Low,FG,989418,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,11512.74,
,EGB5,PSL Front Bascajh Gin 750ml 2018,34.2033746,Low,Pack,890441870,Pc,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain," MARKETING/SALES/SCH.Change of design (marketing issues, promo) ",Pending,22-Dec,11143.908,
,EGLE,CASTELLO DI TREVI Red NRB 6^75cl,94,Low,FG,559418,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,9852.27,
